:START_ID(Entity),:END_ID(Entity),:TYPE,claim_id,predicate,refs:int[],status,evidence,level,species:string[],section,volume,synthesis:boolean,finding,finding_note,hypothesis,hypothesis_group,parameters
thermal-safety-criteria-for-transcranial-ultraso-1tlsmqh,thermal-risk-assessment-of-transcranial-ultrasou-08eruv2,REQUIRED_FOR,C0055,required_for,19,supported,consensus,biophysical,,v0-3-dose,v0,false,,,,,"{""alternatives"":""three, offered as alternatives rather than one rule""}"
an-arbitrary-time-temperature-history-of-a-tissu-0irihhg,cem43-the-equivalent-exposure-time-at-43-degrees-1gfbpfs,MEASURED_BY,C0056,measured_by,85,supported,in-vitro,biophysical,,v0-3-dose,v0,false,,,,,"{""formula"":""CEM43 = sum of t_i * R^(43 - T_i)"",""R"":""takes different values above and below a break temperature"",""status"":""presented as a practical standard, not the only possible one""}"
mr-guided-focused-ultrasound-thalamotomy-at-abla-13wpdx0,hand-tremor-score-in-essential-tremor-1n5xbx8,DECREASES,C0057,decreases,86,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""treated"":""18.1 to 9.6 at three months"",""sham"":""16.0 to 15.8""}"
duty-cycle-of-low-intensity-transcranial-ultraso-169cdw4,direction-of-human-tus-outcome-enhancement-versu-1e95r1l,MODULATES,C0058,modulates,79,contested,human-interventional,clinical,human,v0-3-dose,v0,false,,,H-tus-mechanism-p1,H-tus-mechanism,"{""review"":""systematic review of 32 human TUS studies, 37 experiments"",""p"":""0.046"",""caveat"":""authors call the results tentative and cite incomplete parameter reporting""}"
sonication-duration-of-low-intensity-transcrania-0h6rmjv,direction-of-human-tus-outcome-with-shorter-dura-0endl0n,MODULATES,C0059,modulates,79,contested,human-interventional,clinical,human,v0-3-dose,v0,false,,,H-tus-mechanism-p1,H-tus-mechanism,"{""p"":""0.04""}"
spatial-peak-pulse-average-intensity-isppa-alone-1qe5wtp,direction-of-human-tus-outcome-null-result-0ge0m0f,MODULATES,C0060,modulates,79,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""p"":""0.256"",""result"":""no significant prediction of direction""}"
ramped-longer-lower-intensity-ultrasound-pulses-0fix85k,scalp-sensations-during-transcranial-ultrasound-1yzeb5r,DECREASES,C0061,decreases,78,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""n"":""25"",""design"":""preregistered""}"
acoustic-pressure-set-as-a-fraction-of-the-measu-0u6hxpn,blood-brain-barrier-opening-with-no-detectable-d-1xnazya,REQUIRED_FOR,C0062,required_for,81,supported,animal-interventional,biophysical,rat,v0-3-dose,v0,false,,,,,"{""n"":""27 rats"",""frequency"":""551.5 kHz"",""burst_length"":""10 ms"",""pulse_repetition_frequency"":""2 Hz"",""mean_peak_pressure_for_opening"":""0.28 +/- 0.05 MPa"",""safe_scaling"":""50% of the emission threshold"",""detection"":""wideband hydrophone""}"
low-level-light-fluence-1fhw02h,biphasic-cellular-response-low-fluence-stimulati-0zuqie2,MODULATES,C0063,modulates,21,supported,in-vitro,cellular,,v0-3-dose,v0,false,,,,,"{""reported_quantities"":""wavelength; irradiance in mW/cm2; fluence in J/cm2"",""basis"":""mostly in vitro and peripheral data; review by proponents"",""attribution"":""field's mixed results attributed partly to difficult parameter choice""}"
near-infrared-light-from-commercial-transcranial-1181h7h,transmission-through-the-human-skull-03btebv,COUPLES_VIA,C0064,couples_via,22,contested,in-vitro,biophysical,human,v0-3-dose,v0,false,,,H-pbm-dose-p1,H-pbm-dose,"{""absorbed_or_scattered"":""more than 99%"",""max_transmittance_905nm_laser"":""0.31%"",""max_transmittance_810nm_led_helmet"":""0.71%""}"
light-intensity-transmitted-transcranially-by-cu-1px3a7i,direct-mitochondrial-stimulation-in-cortex-12sxvwy,REQUIRED_FOR,C0065,required_for,22,contested,in-vitro,subcellular,,v0-3-dose,v0,false,,,H-pbm-dose-p1,H-pbm-dose,"{""shortfall"":""mitochondrial stimulation appeared only at intensities 14-775 times above the maximum transmitted level"",""conclusion"":""any benefit is more likely indirect or placebo""}"
incident-near-infrared-light-at-810-and-1064-nm-165745x,photon-transport-delivering-up-to-about-15-of-in-0sm40hv,COUPLES_VIA,C0066,couples_via,23,contested,computational,biophysical,human,v0-3-dose,v0,false,,,H-pbm-dose-p2,H-pbm-dose,"{""wavelengths"":""810 and 1064 nm"",""transcranial_fraction"":""up to about 15% of incident energy"",""intranasal_fraction"":""about 1%"",""scaling"":""deposited energy linear with power density"",""status"":""preprint; one co-author affiliated with a PBM device company"",""comparability"":""a modelled fraction of deposited energy, not a measured transmittance""}"
higher-skin-melanin-1ntlzxn,energy-deposited-in-cortex-by-transcranial-near-1qn3l2z,DECREASES,C0067,decreases,23,supported,computational,biophysical,human,v0-3-dose,v0,false,,,,,"{""magnitude"":""substantial fall with higher skin melanin""}"
skin-pigmentation-as-a-dose-covariate-1bqcq29,transcranial-optical-dose-08jnwcp,CONFOUNDS,C0068,confounds,9;23,inferred,inferred,biophysical,,v0-3-dose,v0,true,,,,,"{""note"":""has no counterpart in the electrical reporting standards cited here""}"
plasma-exposure-summarised-as-auc-and-cmax-0lvo5zz,clinical-endpoints-through-exposure-response-ana-0bq39ya,CORRELATES_WITH,C0069,correlates_with,25,supported,consensus,clinical,human,v0-3-dose,v0,false,,,,,"{""status"":""plasma exposure is itself a proxy for concentration at the receptor""}"
diffusion-influx-and-efflux-at-the-blood-brain-b-0zrnwmp,brain-extracellular-fluid-drug-concentration-1cd64oy,GATES,C0070,gates,164,supported,computational,molecular,,v0-3-dose,v0,false,,,,,"{""estimation"":""usually estimated with physiologically based models tied to animal data, not measured""}"
intrathecal-baclofen-infusion-1fgg0mw,muscle-tone-in-spinal-spasticity-06nlzp1,DECREASES,C0071,decreases,163,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""n"":""20 patients who had failed oral baclofen"",""responders"":""all patients"",""note"":""the molecule was the same; only the compartment changed""}"
convection-enhanced-delivery-infusion-volume-076m9dy,volume-of-distribution-in-tissue-0024z40,INCREASES,C0072,increases,160,supported,animal-interventional,molecular,,v0-3-dose,v0,false,,,,,"{""relationship"":""volume of distribution scaled linearly with infused volume""}"
brexanolone-1jby7tm,a-single-60-hour-intravenous-infusion-0hyeib5,DELIVERED_BY,C0073,delivered_by,180,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,
zuranolone-which-shares-brexanolone-s-target-pha-1j566z3,50-mg-orally-once-daily-for-14-days-0wq6tpv,DELIVERED_BY,C0074,delivered_by,181,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,
erratic-plasma-uptake-and-dose-to-dose-variabili-0resq9s,clinical-response-to-levodopa-in-parkinson-s-dis-1vbsm5c,CONFOUNDS,C0075,confounds,186,supported,consensus,clinical,human,v0-3-dose,v0,false,,,,,"{""extent"":""drives much of the clinical picture""}"
intravenous-ketamine-0-5-mg-kg-0zrtu7q,depressive-symptoms-in-treatment-resistant-depre-0p3tzrw,DECREASES,C0076,decreases,166,supported,human-interventional,clinical,human,v0-3-dose,v0,false,,,,,"{""dose"":""0.5 mg/kg intravenous"",""n"":""18 patients"",""onset"":""within 110 minutes"",""duration"":""persisted about one week"",""gap"":""nothing measured at the levels between exposure and outcome""}"
striatal-d2-receptor-occupancy-measured-with-11c-006xo4d,likelihood-of-clinical-response-extrapyramidal-s-00o6p2d,CORRELATES_WITH,C0077,correlates_with,26,contested,human-interventional,molecular,human,v0-3-dose,v0,false,,,H-d2-occupancy-p1,H-d2-occupancy,"{""n"":""22 first-episode patients with schizophrenia"",""doses"":""haloperidol 1.0 or 2.5 mg/day"",""duration"":""two weeks"",""occupancy_range"":""38% to 87%"",""response_threshold"":""about 65%"",""eps_threshold"":""about 72%"",""hyperprolactinaemia_threshold"":""about 78%""}"
a-receptor-occupancy-window-1mqxi27,therapeutic-effect-65-80-d2-occupancy-for-antips-0p4t1oh,REQUIRED_FOR,C0078,required_for,27,contested,consensus,molecular,human,v0-3-dose,v0,false,,,H-d2-occupancy-p1,H-d2-occupancy,"{""d2_window"":""65-80%"",""sert_window"":""70-80%""}"
d2-receptor-occupancy-above-roughly-75-85-by-ant-199e8gk,extrapyramidal-symptom-risk-11jf484,INCREASES,C0079,increases,28,contested,human-observational,clinical,human,v0-3-dose,v0,false,,,H-d2-occupancy-p2,H-d2-occupancy,"{""analysis"":""dose-response meta-analysis of 110 studies"",""participants"":""37,193"",""threshold"":""roughly 75-85% occupancy"",""shape"":""steep rise above threshold""}"
partial-agonists-such-as-aripiprazole-15t8xq9,extrapyramidal-symptom-risk-despite-high-d2-occu-1n34nv7,DECREASES,C0080,decreases,28,contested,human-observational,clinical,human,v0-3-dose,v0,false,,,H-d2-occupancy-p2,H-d2-occupancy,"{""implication"":""occupancy predicts effect only once the ligand's intrinsic efficacy is specified""}"
chemogenetic-dose-1i5vbu8,exposure-to-clozapine-a-metabolite-of-the-inject-1b479h2,MEASURED_BY,C0081,measured_by,29,supported,animal-interventional,molecular,rat;macaque,v0-3-dose,v0,false,,,,,"{""method"":""PET and pharmacology"",""finding"":""the dose was the exposure to a metabolite, not to the administered compound""}"
dose-stored-as-a-per-drive-class-parameter-set-e-16f3s23,a-dose-representation-adequate-to-any-drive-clas-09s2utb,REQUIRED_FOR,C0082,required_for,9;20;21;76;79;146;163;181;261,inferred,inferred,biophysical,,v0-3-dose,v0,true,,,,,"{""per_class"":""configuration, waveform and timing for electromagnetic drives including convulsive therapy; drive settings, pulse timing and envelope for acoustic drives; wavelength, irradiance and fluence for optical drives; amount, route and schedule for drugs""}"
