id:ID(Entity),:LABEL,label,type,term,xref
a-generalised-seizure-from-a-field-confined-larg-18dc0eg,Entity;Outcome,A generalised seizure from a field confined largely to superficial cortex,Outcome,,
a-gi-coupled-designer-receptor-expressed-in-hipp-1gz6i4q,Entity;GeneProduct,A Gi-coupled designer receptor expressed in hippocampal neurons,GeneProduct,chemogenetics,
a-levels-of-organisation-scheme-running-from-mol-1k6da3s,Entity;Measurement,A levels-of-organisation scheme running from molecules to systems,Measurement,levels-of-organisation,
a-low-frequency-amplitude-envelope-formed-where-0c5uo89,Entity;CouplingMechanism,A low-frequency amplitude envelope formed where the two fields overlap,CouplingMechanism,amplitude-envelope,
a-measured-cortical-electric-field-of-about-0-8-0lzf4ew,Entity;CouplingMechanism,A measured cortical electric field of about 0.8 V/m,CouplingMechanism,e-field,
a-mechanism-claim-used-as-a-fact-in-a-knowledge-1tfhut7,Entity;Outcome,A mechanism claim used as a fact in a knowledge graph,Outcome,,
a-mechanism-that-outlasts-receptor-occupancy-0sazqns,Entity;CouplingMechanism,A mechanism that outlasts receptor occupancy,CouplingMechanism,,
a-named-summary-dose-metric-with-its-rule-scope-1q420sg,Entity;Measurement,"A named summary dose metric, with its rule, scope, criterion or efficacy class",Measurement,e-field-outcome-measure,
a-peripheral-scalp-route-and-a-direct-cortical-r-1hlranx,Entity;CouplingMechanism,A peripheral scalp route and a direct cortical route acting in parallel,CouplingMechanism,peripheral-route,
a-pharmacological-agent-given-by-any-route-1558u13,Entity;ExogenousDrive,A pharmacological agent given by any route,ExogenousDrive,drive,
a-protein-ontology-0vj38fs,Entity;Measurement,A protein ontology,Measurement,,
a-putative-neurotransmitter-deficit-in-the-disea-16p2ndq,Entity;Molecule,A putative neurotransmitter deficit in the disease,Molecule,serotonin-premise,
a-receptor-occupancy-window-1mqxi27,Entity;Measurement,A receptor occupancy window,Measurement,receptor-occupancy,
a-recorded-dose-parameter-set-travelling-with-th-18dn1hl,Entity;Measurement,A recorded dose parameter set travelling with the claim,Measurement,dose-parameter-set,
a-safety-problem-rather-than-a-mechanism-1lnb1tk,Entity;Confound,A safety problem rather than a mechanism,Confound,safety-envelope,
a-schema-able-to-represent-drive-to-outcome-chai-1g5vp3d,Entity;Outcome,A schema able to represent drive-to-outcome chains outside the brain,Outcome,property-graph,
a-shared-marker-measured-by-different-assays-in-1j9mdnx,Entity;Confound,A shared marker measured by different assays in different preparations,Confound,convergence,
a-single-60-hour-intravenous-infusion-0hyeib5,Entity;StimulationProtocol,A single 60-hour intravenous infusion,StimulationProtocol,route-of-administration,
a-small-number-of-molecular-targets-14823w7,Entity;Molecule,A small number of molecular targets,Molecule,,
a-small-number-of-molecular-targets-shared-by-ch-1sbpro4,Entity;Molecule,A small number of molecular targets shared by chemically diverse general anaesthetics,Molecule,general-anaesthesia,
a-spatially-uniform-electric-field-which-gives-a-10t98tq,Entity;CouplingMechanism,"A spatially uniform electric field, which gives a straight fibre no driving term",CouplingMechanism,uniform-field,
a-state-dependent-distribution-of-delivered-para-1ind454,Entity;Measurement,A state-dependent distribution of delivered parameters rather than a fixed protocol setting,Measurement,dose-parameter-set,
a-study-identifying-the-ultrasound-transducer-in-0cfprlr,Entity;Measurement,"A study identifying the ultrasound transducer in human tissue, plus a frequency sweep, duty cycle varied at matched temperature, and channel-specific loss of function with the field physics measured",Measurement,transducer,
a-vagal-chain-edge-that-preserves-its-claim-1vrb4i5,Entity;Pathway,A vagal chain edge that preserves its claim,Pathway,vagus-nerve,
a-valid-charge-injection-safety-limit-for-curren-0zseuvm,Entity;Outcome,A valid charge-injection safety limit for current bioelectronic devices,Outcome,tissue-damage-threshold,
a-well-formed-electromagnetic-coupling-edge-sinc-0i8vxnl,Entity;Outcome,"A well-formed electromagnetic coupling edge, since stimulation is not itself an edge",Outcome,predicate,
absence-of-any-cross-modality-comparative-source-0x0yalm,Entity;Confound,Absence of any cross-modality comparative source for eleven listed families,Confound,reproducibility,
absence-of-any-human-measurement-of-mtor-activat-1n9sj1v,Entity;Confound,Absence of any human measurement of mTOR activation or spine addition,Confound,species-translation,
absorption-spectrum-of-oxidised-cytochrome-c-oxi-1lee17g,Entity;Molecule,Absorption spectrum of oxidised cytochrome c oxidase,Molecule,cytochrome-c-oxidase,
accurate-tissue-geometry-and-a-sufficiently-accu-1npkz22,Entity;Measurement,Accurate tissue geometry and a sufficiently accurate numerical method,Measurement,finite-element-head-model,
acetylcholine-1vg5qfr,Entity;Molecule,Acetylcholine,Molecule,acetylcholine,
acetylcholine-at-alpha7-nicotinic-receptors-on-c-1opgddb,Entity;Molecule,Acetylcholine at alpha7 nicotinic receptors on cytokine-producing macrophages,Molecule,alpha7-nicotinic-receptor,
acetylcholine-dopamine-noradrenaline-and-seroton-0xvqgbs,Entity;Molecule,"Acetylcholine, dopamine, noradrenaline and serotonin",Molecule,third-factor,
acoustic-pressure-above-50-of-the-measured-ultra-1m5ntrl,Entity;StimulationProtocol,Acoustic pressure above 50% of the measured ultraharmonic-emission threshold,StimulationProtocol,ultraharmonic-emission,
acoustic-pressure-set-as-a-fraction-of-the-measu-0u6hxpn,Entity;StimulationProtocol,Acoustic pressure set as a fraction of the measured ultraharmonic-emission threshold,StimulationProtocol,ultraharmonic-emission,
acoustic-radiation-force-165de6q,Entity;CouplingMechanism,Acoustic radiation force,CouplingMechanism,acoustic-radiation-force,
acoustic-radiation-force-and-micron-scale-tissue-15kpou2,Entity;CouplingMechanism,Acoustic radiation force and micron-scale tissue displacement,CouplingMechanism,acoustic-radiation-force,
acoustic-thermal-dose-1w0nveb,Entity;StimulationProtocol,Acoustic thermal dose,StimulationProtocol,thermal-dose,
acr20-response-in-rheumatoid-arthritis-1yomc9j,Entity;Outcome,ACR20 response in rheumatoid arthritis,Outcome,clinical-response,
action-potential-initiation-at-modelled-field-ma-1h5ajht,Entity;Outcome,"Action potential initiation, at modelled field magnitudes far above those reachable at tolerable scalp currents",Outcome,volts-per-metre,
action-potential-propagation-near-the-electrode-0xyj685,Entity;NeuronPopulation,"Action potential propagation near the electrode, so that only a shell of elements around it is effectively excited",NeuronPopulation,conduction-block,
action-potentials-in-the-splenic-nerve-12jvwm2,Entity;NeuronPopulation,Action potentials in the splenic nerve,NeuronPopulation,splenic-nerve,
action-spectrum-for-cell-attachment-1rtp6gs,Entity;Measurement,Action spectrum for cell attachment,Measurement,action-spectrum,
action-spectrum-of-photobiomodulation-efficacy-a-0rmngr3,Entity;Measurement,"Action spectrum of photobiomodulation efficacy across 670, 728, 770, 830 and 880 nm",Measurement,action-spectrum,
activation-state-of-the-targeted-neurons-at-the-0d0r1yb,Entity;Measurement,Activation state of the targeted neurons at the time of stimulation,Measurement,state-dependence,
active-placebo-comparator-100-mg-niacin-0dmx40u,Entity;Measurement,"Active placebo comparator, 100 mg niacin",Measurement,active-placebo,
activity-dependent-bdnf-release-00mdfv3,Entity;Molecule,Activity-dependent BDNF release,Molecule,bdnf,
activity-of-neurons-and-glia-09yq0tf,Entity;CellType,Activity of neurons and glia,CellType,,
actual-allocation-to-active-or-sham-rtms-02cx2cu,Entity;Measurement,Actual allocation to active or sham rTMS,Measurement,,
acute-cortisol-response-to-a-laboratory-stressor-0qbaxdf,Entity;Outcome,Acute cortisol response to a laboratory stressor,Outcome,cortisol,
adding-white-matter-anisotropy-or-a-multi-layer-12av1zi,Entity;Measurement,Adding white-matter anisotropy or a multi-layer skull to a head model,Measurement,tissue-conductivity,
adjudication-between-informational-lesion-and-ex-11nmb28,Entity;Outcome,Adjudication between informational lesion and excitation accounts of DBS,Outcome,,
adjudication-between-the-reflex-and-activatable-1dto8al,Entity;CouplingMechanism,Adjudication between the reflex and activatable-pathway accounts,CouplingMechanism,inflammatory-reflex,
adjunctive-d-cycloserine-with-intermittent-theta-050zkah,Entity;StimulationProtocol,Adjunctive D-cycloserine with intermittent theta-burst stimulation,StimulationProtocol,itbs,
afferent-synaptic-responses-with-no-somatic-pola-0y50109,Entity;Measurement,"Afferent synaptic responses, with no somatic polarisation at all",Measurement,,
after-effect-of-a-fixed-tms-protocol-on-motor-ev-04njw6g,Entity;Outcome,After-effect of a fixed TMS protocol on motor evoked potentials,Outcome,,
ampa-receptor-activation-199muiq,Entity;Molecule,AMPA receptor activation,Molecule,ampa-receptor,
ampa-receptor-dependent-antidepressant-like-beha-01h769d,Entity;Outcome,AMPA-receptor-dependent antidepressant-like behavioural response,Outcome,ampa-receptor,
amplitude-and-frequency-at-a-single-intracortica-0vjvacn,Entity;StimulationProtocol,Amplitude and frequency at a single intracortical microstimulation electrode,StimulationProtocol,,
amyloid-beta-1-40-and-1-42-load-with-altered-mic-05vd03c,Entity;Outcome,"Amyloid-beta 1-40 and 1-42 load, with altered microglial morphology",Outcome,amyloid-beta,
amyloid-burden-on-florbetaben-pet-null-no-group-1fzsg6u,Entity;Measurement,Amyloid burden on florbetaben PET (null; no group-level change),Measurement,amyloid-beta,
amyloid-burden-on-pet-0hlnzde,Entity;Measurement,Amyloid burden on PET,Measurement,amyloid-beta,
an-account-of-the-delay-before-clinical-benefit-1tadii2,Entity;Outcome,An account of the delay before clinical benefit of chronic antidepressants and the reversal of varied symptoms,Outcome,clinical-response,
an-adequate-test-of-a-drug-mechanism-in-a-phase-0t6s85g,Entity;Outcome,An adequate test of a drug mechanism in a Phase II programme,Outcome,target-engagement,
an-agreed-e-field-feature-and-extraction-rule-wi-1x6stue,Entity;Measurement,"An agreed E-field feature and extraction rule, with its pipeline and segmentation named",Measurement,e-field-outcome-measure,
an-applied-electric-field-of-about-1-mv-mm-0t0ifn7,Entity;CouplingMechanism,An applied electric field of about 1 mV/mm,CouplingMechanism,millivolts-per-millimetre,
an-arbitrary-time-temperature-history-of-a-tissu-0irihhg,Entity;Measurement,An arbitrary time-temperature history of a tissue exposure,Measurement,thermal-dose,
an-e-field-dose-value-comparable-with-any-other-0e59few,Entity;Outcome,An E-field dose value comparable with any other,Outcome,dosimetry,
an-electric-field-confined-largely-to-superficia-1ig36sr,Entity;CouplingMechanism,"An electric field confined largely to superficial cortex, against a substantially larger stimulated brain volume for ECT",CouplingMechanism,e-field,
an-electric-field-of-about-0-1-1-v-m-in-the-huma-1fq82un,Entity;CouplingMechanism,An electric field of about 0.1-1 V/m in the human brain,CouplingMechanism,e-field,
an-eleven-point-sham-controlled-responder-rate-d-0m0eal4,Entity;Outcome,An eleven-point sham-controlled responder-rate difference,Outcome,clinical-response,
an-exogenous-drive-0emg5e0,Entity;ExogenousDrive,An exogenous drive,ExogenousDrive,drive,
an-explanation-of-perception-learning-and-consci-02lc9uz,Entity;Outcome,"An explanation of perception, learning and consciousness that links levels rather than staying at one",Outcome,,
an-explicit-link-from-microscopic-mechanisms-to-0rxbqyw,Entity;Outcome,An explicit link from microscopic mechanisms to macroscopic signals,Outcome,,
an-imposed-extracellular-voltage-gradient-01e211z,Entity;CouplingMechanism,An imposed extracellular voltage gradient,CouplingMechanism,modulation-versus-initiation,
an-independent-measurement-or-model-at-that-leve-11192q9,Entity;Measurement,"An independent measurement or model at that level, because a level cannot be read off the one below it",Measurement,,
an-installed-transducer-of-known-identity-kineti-1hzu7mv,Entity;CouplingMechanism,"An installed transducer of known identity, kinetics and cell-type distribution",CouplingMechanism,installed-transducer,
an-interpretable-plasticity-edge-in-the-graph-1b2d8ue,Entity;Outcome,An interpretable plasticity edge in the graph,Outcome,ltp-like-plasticity,
an-interpretable-summary-dose-value-with-a-missi-1ol643r,Entity;Outcome,"An interpretable summary dose value, with a missing value recorded as missing",Outcome,dosimetry,
an-optimised-charge-balanced-10-khz-stimulation-0ja3064,Entity;StimulationProtocol,"An optimised, charge-balanced 10 kHz stimulation waveform",StimulationProtocol,charge-balanced-waveform,
anatomical-target-or-end-organ-0ka8lzg,Entity;AnatomicalStructure,Anatomical target or end organ,AnatomicalStructure,,
anterior-thalamic-neurons-1jny5wq,Entity;NeuronPopulation,Anterior thalamic neurons,NeuronPopulation,,
anticorrelation-of-the-coil-site-with-the-subgen-0r8c40g,Entity;Measurement,Anticorrelation of the coil site with the subgenual cingulate,Measurement,connectivity-based-targeting,
antidepressant-action-of-fast-acting-agents-such-1anda0d,Entity;Outcome,Antidepressant action of fast-acting agents such as ketamine,Outcome,,
antidepressant-efficacy-of-held-out-tms-and-dbs-1ysq0aj,Entity;Outcome,Antidepressant efficacy of held-out TMS and DBS sites,Outcome,clinical-response,
antidepressant-like-behaviour-0cxfmqh,Entity;Outcome,Antidepressant-like behaviour,Outcome,,
antidepressant-like-behavioural-effect-of-ketami-1n540nq,Entity;Outcome,"Antidepressant-like behavioural effect of ketamine and of (2R,6R)-hydroxynorketamine",Outcome,hydroxynorketamine,
antidepressant-like-effect-of-ketamine-2r-6r-hyd-1hqb1yi,Entity;Outcome,"Antidepressant-like effect of ketamine, (2R,6R)-hydroxynorketamine, a GABA-A modulator and an mGlu2/3 antagonist",Outcome,,
antidepressant-response-in-major-depressive-diso-1xmb521,Entity;Outcome,Antidepressant response in major depressive disorder,Outcome,clinical-response,
antidepressant-response-to-intermittent-theta-bu-1njveyh,Entity;Outcome,Antidepressant response to intermittent theta-burst stimulation,Outcome,,
any-merged-or-pooled-effect-estimate-it-enters-0u0rq92,Entity;Outcome,Any merged or pooled effect estimate it enters,Outcome,,
apical-dendrites-of-layer-v-cortical-pyramidal-n-1ep9cgs,Entity;SubcellularComponent,Apical dendrites of layer V cortical pyramidal neurons,SubcellularComponent,layer-v-pyramidal-neuron,
apical-dendrites-of-layer-v-neocortical-pyramida-19kpa0n,Entity;SubcellularComponent,Apical dendrites of layer V neocortical pyramidal cells,SubcellularComponent,layer-v-pyramidal-neuron,
apnoea-hypopnoea-index-in-obstructive-sleep-apno-0ukgd19,Entity;Outcome,Apnoea-hypopnoea index in obstructive sleep apnoea,Outcome,clinical-response,
applied-uniform-field-of-about-2-4-mv-mm-in-ferr-06bgyia,Entity;CouplingMechanism,Applied uniform field of about 2-4 mV/mm in ferret cortical slices,CouplingMechanism,uniform-field,
assay-preparation-species-and-direction-of-chang-0550ccm,Entity;Measurement,"Assay, preparation, species and direction of change",Measurement,readout,
association-between-stimulation-site-to-subgenua-13mobv0,Entity;Outcome,Association between stimulation-site to subgenual cingulate connectivity and rTMS outcome,Outcome,connectivity-based-targeting,
astrocyte-released-glutamate-0hxbjfj,Entity;Molecule,Astrocyte-released glutamate,Molecule,,
astrocytic-calcium-entry-through-trpa1-11bloah,Entity;CellType,Astrocytic calcium entry through TRPA1,CellType,astrocyte,
astrocytic-piezo1-deletion-0b7uvsi,Entity;GeneProduct,Astrocytic Piezo1 deletion,GeneProduct,knockout,
astrocytic-trpa1-channels-1haqgb4,Entity;GeneProduct,Astrocytic TRPA1 channels,GeneProduct,trpa1,
astrocytic-trpa1-opening-by-low-intensity-low-fr-0gpkhmb,Entity;CouplingMechanism,Astrocytic TRPA1 opening by low-intensity low-frequency ultrasound,CouplingMechanism,trpa1,
attributing-a-negative-result-to-delivery-rather-0jzms4c,Entity;Outcome,"Attributing a negative result to delivery rather than mechanism, and a positive result to no rival transducer in the same cells",Outcome,,
attribution-of-a-null-trial-result-to-a-particul-05pri3f,Entity;Outcome,Attribution of a null trial result to a particular mechanistic link,Outcome,,
auditory-confound-carried-by-the-input-studies-o-07p59o0,Entity;Confound,Auditory confound carried by the input studies of a pooled estimate,Confound,auditory-confound,
auditory-pathway-activation-16uj2ok,Entity;Confound,Auditory pathway activation,Confound,auditory-confound,
auditory-pathway-activation-by-transcranial-ultr-0tps8y2,Entity;Confound,Auditory pathway activation by transcranial ultrasound,Confound,auditory-confound,
auditory-pathway-activation-while-leaving-the-mo-06222au,Entity;Outcome,"Auditory-pathway activation, while leaving the motor response intact",Outcome,auditory-confound,
auditory-pathway-indexed-by-the-auditory-brainst-0n01izu,Entity;Pathway,"Auditory pathway, indexed by the auditory brainstem response",Pathway,,
automatically-extracted-subject-predicate-object-08xmo30,Entity;Confound,Automatically extracted subject-predicate-object predication,Confound,semmeddb,
axonal-conduction-without-the-onset-burst-that-c-0kvakww,Entity;NeuronPopulation,"Axonal conduction, without the onset burst that conventional kilohertz block causes",NeuronPopulation,conduction-block,
axonal-membrane-depolarising-where-the-activatin-0g2nji4,Entity;SubcellularComponent,"Axonal membrane, depolarising where the activating function is positive and hyperpolarising where it is negative",SubcellularComponent,myelinated-axon,
baclofen-gaba-b-receptor-agonist-0r69jov,Entity;Molecule,Baclofen (GABA-B receptor agonist),Molecule,baclofen,
baseline-mep-amplitude-age-target-muscle-and-tim-0u154gt,Entity;Measurement,"Baseline MEP amplitude, age, target muscle and time of day",Measurement,,
bdnf-as-a-convergence-endpoint-1aqhi52,Entity;Molecule,BDNF as a convergence endpoint,Molecule,bdnf,
bdnf-protein-translated-after-eef2-kinase-deacti-0sliwt8,Entity;Molecule,BDNF protein translated after eEF2 kinase deactivation,Molecule,eef2-kinase,
bdnf-secretion-and-trkb-activation-19zb0wf,Entity;Pathway,BDNF secretion and TrkB activation,Pathway,trkb,
bdnf-translation-0cwzxw4,Entity;GeneProduct,BDNF translation,GeneProduct,bdnf,
bdnf-val66met-polymorphism-0vo601t,Entity;GeneProduct,BDNF Val66Met polymorphism,GeneProduct,val66met,
behavioural-and-perceptual-effects-of-tms-0o2mqzq,Entity;Outcome,Behavioural and perceptual effects of TMS,Outcome,,
behavioural-antidepressant-like-effect-of-four-u-1oj28ky,Entity;Outcome,Behavioural antidepressant-like effect of four unrelated compounds,Outcome,,
behavioural-effect-attributed-to-active-tms-05ulm6z,Entity;Outcome,Behavioural effect attributed to active TMS,Outcome,,
beta-band-local-field-potential-gated-subthalami-0enkhk3,Entity;StimulationProtocol,Beta-band local-field-potential-gated subthalamic deep brain stimulation,StimulationProtocol,adaptive-dbs,
beta-burst-gated-adaptive-deep-brain-stimulation-0499smu,Entity;StimulationProtocol,Beta-burst-gated adaptive deep brain stimulation,StimulationProtocol,adaptive-dbs,
between-person-response-variability-to-plasticit-085vux0,Entity;Confound,Between-person response variability to plasticity protocols,Confound,response-variability,
bilateral-anodal-tdcs-of-parietal-cortex-0n5kbof,Entity;ExogenousDrive,Bilateral anodal tDCS of parietal cortex,ExogenousDrive,tdcs,
biphasic-cellular-response-low-fluence-stimulati-0zuqie2,Entity;Outcome,"Biphasic cellular response, low fluence stimulating more than high fluence",Outcome,inverted-u-dose-response,
blinded-motor-score-improvement-in-advanced-park-1k088ic,Entity;Outcome,Blinded motor score improvement in advanced Parkinson's disease,Outcome,clinical-response,
blinded-motor-score-improvement-in-parkinson-s-d-1k3hfbk,Entity;Outcome,Blinded motor score improvement in Parkinson's disease,Outcome,clinical-response,
blinding-check-made-at-the-end-of-a-study-rather-0kb64h8,Entity;Confound,Blinding check made at the end of a study rather than during stimulation,Confound,blinding,
blinding-integrity-in-a-psilocybin-depression-tr-0kkhu73,Entity;Measurement,Blinding integrity in a psilocybin depression trial,Measurement,blinding,
blockade-of-overall-network-activity-in-dissocia-12xdeil,Entity;StimulationProtocol,Blockade of overall network activity in dissociated culture,StimulationProtocol,homeostatic-synaptic-scaling,
blood-brain-barrier-opening-with-no-detectable-d-1xnazya,Entity;Outcome,Blood-brain barrier opening with no detectable damage,Outcome,blood-brain-barrier-opening,
blood-brain-barrier-passive-diffusion-plus-activ-1mrdpi2,Entity;AnatomicalStructure,Blood-brain barrier passive diffusion plus active influx and efflux,AnatomicalStructure,blood-brain-barrier,
blood-brain-barrier-permeability-03zc79e,Entity;AnatomicalStructure,Blood-brain barrier permeability,AnatomicalStructure,blood-brain-barrier,
blood-brain-barrier-permeability-at-the-targeted-1xd5u6s,Entity;AnatomicalStructure,Blood-brain barrier permeability at the targeted locations,AnatomicalStructure,blood-brain-barrier,
blood-brain-barrier-permeability-in-alzheimer-s-0jcvuq2,Entity;AnatomicalStructure,Blood-brain barrier permeability in Alzheimer's disease,AnatomicalStructure,blood-brain-barrier,
brain-extracellular-fluid-drug-concentration-1cd64oy,Entity;Measurement,Brain extracellular fluid drug concentration,Measurement,brain-extracellular-fluid,
brain-parenchyma-0jpajnp,Entity;AnatomicalStructure,Brain parenchyma,AnatomicalStructure,,
brexanolone-1jby7tm,Entity;Molecule,Brexanolone,Molecule,brexanolone,
brexanolone-intravenous-allopregnanolone-by-sing-1yniazm,Entity;ExogenousDrive,"Brexanolone, intravenous allopregnanolone by single 60-hour infusion",ExogenousDrive,brexanolone,
brief-tetanic-stimulation-of-the-perforant-path-008b3dx,Entity;StimulationProtocol,Brief tetanic stimulation of the perforant path,StimulationProtocol,,
bubble-oscillation-rather-than-absorption-which-1kisv5k,Entity;CouplingMechanism,"Bubble oscillation rather than absorption, which is why microbubble techniques work far below ablative intensities",CouplingMechanism,microbubble,
burst-firing-that-somatic-current-injection-did-1ynrvul,Entity;Measurement,Burst firing that somatic current injection did not produce,Measurement,,
c-fos-protein-expression-with-an-area-distributi-0w2i79q,Entity;Measurement,"c-Fos protein expression, with an area distribution that tracks the pattern",Measurement,c-fos,
ca1-pyramidal-cell-somata-linearly-1fr8sna,Entity;NeuronPopulation,"CA1 pyramidal cell somata, linearly",NeuronPopulation,compartment-specific-polarisation,
capacity-of-a-synapse-for-later-ltp-or-ltd-06rml8g,Entity;Outcome,Capacity of a synapse for later LTP or LTD,Outcome,,
cathodal-current-0c99fd9,Entity;StimulationProtocol,Cathodal current,StimulationProtocol,cathodal-stimulation,
causal-claim-running-from-induced-field-through-1sz0pqt,Entity;Outcome,Causal claim running from induced field through local tissue and network to behaviour,Outcome,,
cell-ontology-identifier-0im5fkd,Entity;Measurement,Cell Ontology identifier,Measurement,obo-foundry-ontology,
cell-type-15vjqmt,Entity;CellType,Cell type,CellType,,
cem43-the-equivalent-exposure-time-at-43-degrees-1gfbpfs,Entity;Measurement,"CEM43, the equivalent exposure time at 43 degrees C",Measurement,cem43,
central-integration-in-the-afferent-central-effe-0gxdopx,Entity;Circuit,Central integration in the afferent-central-efferent inflammatory reflex loop,Circuit,inflammatory-reflex,
cerad-corrected-total-score-in-alzheimer-s-disea-0fr66dt,Entity;Outcome,CERAD corrected total score in Alzheimer's disease,Outcome,clinical-response,
certainty-of-the-evidence-for-the-effect-0gq1j9a,Entity;Measurement,Certainty of the evidence for the effect,Measurement,evidence-level,
cervical-vagus-nerve-stimulation-as-a-selective-11fo0jp,Entity;ExogenousDrive,Cervical vagus nerve stimulation as a selective drive,ExogenousDrive,vagus-nerve-stimulation,
cftr-mediated-outward-current-in-hek293t-cells-1usqvyl,Entity;GeneProduct,CFTR-mediated outward current in HEK293T cells,GeneProduct,cftr,
channelrhodopsin-2-a-light-gated-cation-channel-1qzuzxx,Entity;GeneProduct,"Channelrhodopsin-2, a light-gated cation channel from algae, delivered to mammalian neurons by lentivirus",GeneProduct,channelrhodopsin-2,
charge-density-and-charge-per-phase-acting-toget-0fkjltj,Entity;StimulationProtocol,Charge density and charge per phase acting together,StimulationProtocol,charge-density,
charge-transfer-across-the-electrode-tissue-inte-04esi5d,Entity;CouplingMechanism,"Charge transfer across the electrode-tissue interface, Faradaic or non-Faradaic",CouplingMechanism,electrode-tissue-interface,
chebi-identifier-14rodp7,Entity;Measurement,ChEBI identifier,Measurement,,
chemically-diverse-general-anaesthetics-1ggzxhv,Entity;ExogenousDrive,Chemically diverse general anaesthetics,ExogenousDrive,general-anaesthesia,
chemogenetic-dose-1i5vbu8,Entity;StimulationProtocol,Chemogenetic dose,StimulationProtocol,dose,
choice-of-e-field-outcome-measure-1s8b743,Entity;Confound,Choice of E-field outcome measure,Confound,e-field-outcome-measure,
cholinergic-neurons-of-the-nucleus-basalis-0btnqwc,Entity;NeuronPopulation,Cholinergic neurons of the nucleus basalis,NeuronPopulation,nucleus-basalis,
cholinergic-noradrenergic-and-serotonergic-recep-0s1u7ot,Entity;Molecule,"Cholinergic, noradrenergic and serotonergic receptor blockade at clinically relevant doses",Molecule,perturbation-method,
chronic-adaptive-deep-brain-stimulation-delivere-1qd4hdt,Entity;StimulationProtocol,Chronic adaptive deep brain stimulation delivered at home,StimulationProtocol,closed-loop-stimulation,
chronic-at-home-adaptive-deep-brain-stimulation-0s1m8km,Entity;StimulationProtocol,Chronic at-home adaptive deep brain stimulation,StimulationProtocol,adaptive-dbs,
chronic-monoaminergic-antidepressant-treatment-10so361,Entity;ExogenousDrive,Chronic monoaminergic antidepressant treatment,ExogenousDrive,,
circulating-cytokine-concentrations-in-humans-0y2wpop,Entity;Molecule,Circulating cytokine concentrations in humans,Molecule,,
circulating-endocrine-messenger-route-or-local-n-0b7kij9,Entity;CouplingMechanism,Circulating endocrine messenger route or local neurosteroidogenesis,CouplingMechanism,route-of-administration,
claim-from-an-unblinded-or-sham-inadequate-study-0nv5h82,Entity;Confound,Claim from an unblinded or sham-inadequate study,Confound,blinding,
