family,invasiveness,drive_physically,proposed_primary_coupling,named_rival,dose_quantities_reported,resolution_reported,dominant_evidence_base,what_is_missing,ref
tRNS,Non-invasive,,,,"Only as part of a pooled tES safety envelope with tDCS and tACS: to 4 mA and 60 min/day, no serious adverse events over more than 300,000 sessions [43]",,Human safety pooling only [43],"Every mechanistic and dose-specific cell; absent from both comparison sources [30,31]",30;31;43
Temporal interference,Non-invasive,Two kHz carriers at slightly different frequencies whose overlap produces a low-frequency amplitude envelope [39],"Envelope demodulation at the membrane: mouse neurons followed the envelope, hippocampal neurons were driven without driving overlying cortex, and motor responses were steered by current ratio [39]; in humans, modelled and cadaver-measured steering with changed hippocampal fMRI and improved episodic memory accuracy [45]","Passive membrane filtering cannot extract the envelope; ion-channel rectification can, and predicts tonic firing or conduction block in superficial tissue at intensities that reach deep targets (computational) [60]; modelled suprathreshold TI needs about 75–230 V/m against about 0.1–1 V/m attainable in the human brain [48]; in macaque, TI altered spike timing but not rate and was about 80% less potent than tACS [46]","Carrier frequency, difference frequency, per-channel current and current ratio [39]; human studies mostly used 20 Hz or gamma-range envelopes [47]",Steering claimed from models and cadaver measurements rather than from in vivo field recordings [45]; spike-timing effects without rate change in macaque [46],"Human systematic review: 48 records, 20 completed studies and 28 ongoing trials, 820 participants, well tolerated, evidence at Phase 1 level with efficacy untested [47]; mouse [39]; macaque [46]; computational [48,60]","Efficacy of any kind [47]; adjudication of suprathreshold feasibility [46,48]; measured human in-brain envelope amplitude",39;45;46;47;48;60
"VNS, cervical implanted",Implanted nerve cuff; standard care [31],Current pulses delivered to the cervical vagus [140],"Recruitment of vagal afferents driving phasic locus coeruleus firing: rapid phasic bursts from 0.1 mA, with rate rising with current and pulse width, and pulse frequency shifting burst timing without changing total activity (rat) [140]",Not established in this corpus for the implanted route,"Current amplitude, pulse frequency, pulse width, train duration, inter-train interval [140]; effective dose often omitted in implantable practice [2]","Half-second trains produce phasic bursts in rat locus coeruleus; trigeminal pulse-locked activity appears only above 1.2 mA, giving an amplitude window that separates the two [140]",Rat direct recordings across a parameter grid [140]; clinical use as standard care [31],Fibre-class selectivity: the vagus is a bundle of molecularly distinct afferent classes whose transduction is poorly established [157]; any human recording of the engaged pathway,2;31;140;157
"taVNS, transcutaneous auricular",Non-invasive,Current pulses at the auricular branch of the vagus [146],Assumed to be the same afferent recruitment as cervical VNS [140]; in humans indexed only by proxies [146],"Null engagement: pooled continuous stimulation gives strong evidence for no pupil effect (g = 0.002, BF01 = 21.9) while pulsed stimulation gives strong evidence for one (g = 0.36, BF10 = 50.8) [146]","Amplitude, pulse width, frequency, and pulsed versus continuous delivery as the decisive parameter [146]",Not established in this corpus; the human read-out is a pupil proxy rather than a spatial or temporal measurement [146],"Human living Bayesian meta-analysis, 18 studies, N = 771 [146]; rat parametric work by extension [140]","A direct human measure of target engagement; separation of vagal from trigeminal recruitment at the ear [140,157]",140;146;157
Trigeminal nerve stimulation,,,,,"Appears only as a recruitment control during VNS, where pulse-locked trigeminal activity appeared above 1.2 mA in rat [140]",,"Rat, as a control condition in a VNS parameter study [140]","Any source treating the trigeminal nerve as the intended target; it appears in neither cross-modality comparison source [30,31]",30;31;140
Hypoglossal nerve stimulation,Implanted nerve cuff with a respiration sensor; serious adverse events in under 2% [252],"Current pulses to the hypoglossal nerve, gated to inspiration, producing timed tongue-protrusor contraction [252]","Excitation of a somatic motor nerve, with a mechanical endpoint (airway patency) rather than a modulated state [252]",,"Pulse width 90 against 120 µs and frequency 33 against 40 Hz, amplitude in volts, therapeutic window counted in tolerable voltage steps; the longer, faster configuration lowered the amplitude needed for functional protrusion across all three electrode configurations without changing the usable window [253]","Stimulation gated to the respiratory cycle, so the temporal unit is the breath [252]; no spatial figure in this corpus","Human: 126 CPAP-intolerant patients, median apnoea–hypopnoea index down 68% from 29.3 to 9.0 events/hour at 12 months, with a randomised therapy-withdrawal substudy confirming device dependence [252]; pooled analysis of 30 studies (549 patients across 26 single-arm studies, 273 across 4 randomised trials), index down 20.11 events/hour (95% CI 23.13 to 17.10) at one year and 15.60 beyond [254]",Randomised evidence: only 4 of the 30 pooled studies were randomised [254],252;253;254
Occipital nerve stimulation,Implanted occipital nerve leads [255],"Current pulses to the occipital nerves, producing paraesthesia in the stimulated field [255]",,"Not established in this corpus; a 30% intensity arm matched the 100% arm, so a dose-dependent therapeutic effect cannot be separated from a non-specific one [255]","Intensity expressed as a percentage of the individually determined paraesthesia-to-near-discomfort range rather than in mA, set at 100% or 30% [255]",,"Human: randomised, double-blind, multicentre phase 3 dose-controlled trial in medically intractable chronic cluster headache, median weekly attack frequency falling substantially by weeks 21–24 (p < 0.0001), similarly in both arms [255]","A sham comparison, which an unmistakable paraesthesia makes impossible, and with it the mechanism of benefit [255]",255
"Spinal cord stimulation, epidural",Implanted epidural electrode; standard care [31],Current pulses in the epidural space over the spinal cord [2],"Recruitment of large myelinated dorsal-root afferents rather than motoneurons or interneurons directly, which then engage motor pools trans-synaptically; modelled and confirmed in rats for intensity and electrode position [61]",,"Amplitude, pulse width, frequency, waveform; classification proposed by target plus waveform and dose, with effective dose often omitted [2]; charge-density and charge-per-phase limit by inheritance [17]","Recruitment order and threshold as a function of electrode position, modelled and rat-validated [61]; kHz waveforms optimised to inactivate sodium channels from the closed state can block conduction without an onset burst (computational) [62]","Computational model with rat validation [61,62]; expert consensus taxonomy [2]; clinical use [31]",Human mechanism data; frequency and duty-cycle terms in the safety rule [18],2;17;18;31;61;62
Peripheral nerve stimulation and functional electrical stimulation,Surface electrodes through to fully implanted systems [245],"Charge-balanced current pulses to intact peripheral motor nerves, with the safety envelope set by charge-injection limits rather than by seizure or cognitive risk [245]","Excitation of peripheral motor axons, with contraction graded by amplitude, pulse width and frequency [245]","Recruitment is non-selective, spatially fixed and temporally synchronous rather than following the size principle, and the textbook strict reverse (large-to-small) order is not supported; synchronous firing of the same units is the source of the rapid fatigue [246]","Amplitude, pulse width and frequency modulation as the grading variables [245]; the same peripheral drive alone reproduced tACS motor effects in rats and humans [54]; kHz waveforms optimised to inactivate sodium channels from the closed state block conduction without an onset burst (computational) [62]","Spatially fixed recruitment, so the stimulated population does not rotate as in voluntary contraction [246]; the outcome is a graded mechanical action rather than a modulated state [245]","Human: meta-analysis of 18 randomised trials after stroke, moderate pooled effect on activity driven mainly by upper-limb function with smaller gains in walking speed [247]; family review across upper and lower extremity, bladder, bowel and respiratory neuroprostheses [245]","A selective recruitment method that reproduces the size principle, and fatigue-resistant parameter sets [246]",54;62;245;246;247
Low-intensity transcranial ultrasound,Non-invasive,"Focused pressure wave, pulsed, delivered through the skull [20]","Contested, with at least four candidates: intramembrane cavitation rectified into capacitance change (computational) [65]; mechanosensitive channels — TREK-1, TREK-2, TRAAK and NaV1.5 currents modulated by up to about 23% at 10 MHz and 0.3–4.9 W/cm² in oocytes [67], Piezo1 required in vivo in mouse cortex [68], astrocytic TRPA1 driving Best1 glutamate release onto neuronal NMDA receptors [69], and CFTR chloride flow at 0.8 MHz and 0.20 MPa in HEK cells [70]; acoustic radiation force, with responses growing from 0.5 to 43 MHz, which excludes cavitation in salamander retina [66]; and heating, where suppression tracked temperature and was independent of duty cycle, peak pressure and modulation frequency in rat thalamus [71]","Peripheral confound rather than direct coupling: guinea-pig activation was abolished by auditory-nerve transection or cochlear fluid removal [74], mouse cortical patterns matched the auditory pathway [75], and in humans the standard motor inhibition was driven by auditory stimulation across four experiments [77]; countered by intact motor responses in genetically deaf mice once pulse edges were smoothed [76]; scalp somatosensory sensation is a further route, driven by particle displacement [78]","Six reporting domains: transducer and drive system, drive settings, free-field acoustic parameters, pulse timing, in situ exposure estimates and intensity parameters [20]; mechanical index at or below 1.9 as non-significant risk plus three alternative thermal criteria, by the authors' statement expert opinion and not safety limits [19]; across 32 studies and 37 experiments, duty cycle (p = 0.046) and sonication duration (p = 0.04) predicted direction of effect while I<sub>SPPA</sub> alone did not (p = 0.256) [79]",Not established in this corpus as a measured human focal volume; in situ exposure is estimated rather than measured [20]; response duration tracked pulse duration in mouse [76],"Human systematic review and meta-analysis, self-declared provisional [79]; human experiments [77,78]; rodent [68,71,74,75,76]; in vitro [66,67,70]; computational [65]","Which parameter sets the direction of effect [71,79]; complete parameter reporting [79]; the threshold for significant risk [19]",19;20;65;66;67;68;69;70;71;74;75;76;77;78;79
HIFU and MRgFUS ablation,Transcranial but tissue-destructive: an irreversible lesion without an incision [86],High-intensity focused ultrasound absorbed as heat at the focus [85],"Thermal coagulation, with dose expressed as cumulative equivalent minutes at 43 °C [85]","Not established in this corpus; the same physical modality is reversible at low intensity, so thermal dose rather than modality decides [85,86]","Temperature and thermal dose [85]; achievable peak temperature limited by skull density ratio (positive, p = 0.009) and skull volume (negative, p = 0.023) in 25 patients [87]",Lesion placed accurately enough to beat a sham procedure [86]; no millimetre figure in this corpus; effect is immediate and permanent [86],"Human randomised sham-controlled trial: hand tremor 18.1 to 9.6 at three months versus 16.0 to 15.8 with sham, gait disturbance in 36% and paraesthesia or numbness in 38% [86]; human retrospective series [87]",A per-patient account of skull transmission [87]; comparison against DBS on the same endpoints [31],31;85;86;87
FUS blood–brain barrier opening,Non-invasive device plus intravenous microbubbles [82],Low-pressure focused ultrasound driving oscillation of circulating microbubbles at the vessel wall [80],"Microbubble cavitation at the endothelium rather than absorption in tissue, which is why it works far below ablative intensity [80]","Sterile inflammation as an intrinsic consequence: damage-associated molecular patterns and a parenchymal inflammatory response lasting about 24 h, compared by the authors to ischaemia or mild traumatic brain injury (rat) [83]; against microbubble dose as the controlling variable, with no significant NF-κB change at clinical imaging doses and oedema, degeneration and microhaemorrhage at high doses (rat) [84]","Temporal peak acoustic power 0.2–11.5 W in rabbit [80]; 0.28 ± 0.05 MPa mean peak pressure at 551.5 kHz, 10 ms bursts, 2 Hz PRF, held at a fraction of the ultraharmonic-emission threshold, with opening and no detectable damage at 50% scaling [81]; microbubble dose [84]","Opening confined to the targeted volume and imageable by contrast-enhanced MR, reversible and repeatable [80,82]; enhancement scaled linearly with the chosen pressure fraction [81]","Rabbit [80] and rat [81,83,84]; human phase I in five patients with Alzheimer's disease, safe and reversible with no group-level amyloid change [82]","Therapeutic benefit as distinct from barrier opening [82]; an agreed inflammatory threshold [83,84]",80;81;82;83;84
Transcranial pulse stimulation,"Non-invasive and neuronavigated, with high tolerability and no serious adverse events reported [228]","Single ultrashort ultrasound shockwave pulses of roughly 3 µs rather than a continuous or tone-burst beam, so the drive has essentially no duty cycle [228]","Not established in this corpus: the introductory paper lists candidates — transient membrane pore formation, neurotransmitter and neurotrophin changes, microglial activation, nitric oxide signalling — without establishing one [228]; in mice, clinical-range energy produced calcium influx, raised c-Fos in dentate gyrus and transiently reorganised limbic network connectivity, reverting within about ten minutes [230]",A second mechanism appears at a modest energy increase: 0.25 mJ/mm² triggered spreading depolarisation waves where 0.05 mJ/mm² produced the direct activation pattern (mouse) [230],"Energy flux density 0.2–0.3 mJ/mm², about 3 µs per pulse, 5 Hz, about 6,000 pulses per session, with measured temporal-peak intensity falling roughly 80–90% through human skull [228]; the randomised trial used 6,000 pulses at 0.20 mJ/mm² and 5 Hz [229]",Neuronavigated focal delivery [228]; mouse network changes reverting to baseline within about ten minutes [230]; no measured human focal volume,"Human: the sham-controlled primary endpoint was negative — in a double-blind crossover trial in 60 patients on standard therapy, CERAD corrected total score rose 2.22 points after verum against 1.00 after sham at three months, but the condition-by-session interaction was not significant (P = .68), with benefit only in a prespecified subgroup aged 70 or under and successful blinding [229]; the 35-patient open-label series it supersedes reported three-month improvement correlated with memory-network connectivity [228]; mouse imaging [230]","A confirmed clinical effect, since the sham-controlled trial does not reproduce the open-label result [228,229]; an established coupling mechanism [228,230]",228;229;230
Peripheral and organ-directed ultrasound,"Fully non-invasive, with no adverse clinical or laboratory effects in the first human study [256,259]","Focused ultrasound aimed at a sub-organ visceral target — splenic, hepatic or hepatoportal — rather than at a nerve trunk or the brain [256]","Mechanical activation of nerve terminals inside the organ with afferent relay to brain: splenic stimulation engaged the cholinergic anti-inflammatory pathway comparably with surgical VNS and hepatic stimulation altered glucose regulation, with imaging showing engagement of metabolism-related brain regions [256]; the hepatoportal effect required an intact liver-to-brain pathway, verified by denervation, in mice, rats and swine [258]","A local tissue effect rather than a neural reflex [256]; in humans the effect did not differ by stimulation mode or across a roughly fifteen-fold intensity difference, which is hard to reconcile with a dose-dependent mechanical-neural mechanism [259]","Human: three minutes delivered in intermittent 15 s intervals, either swept continuously at 11.7 mW/cm² or focused-pulsed at 174.8–225.4 mW/cm² [259]; in mice the benefit depended on specific stimulation parameters [257]","Sub-organ targeting rather than focality in neural tissue [256]; in humans, ex vivo TNF production fell for more than two hours and returned to baseline by 24 h [259]","Human first-in-human study in healthy volunteers [259]; rodent work from two independent groups [256,257], with single-cell RNA sequencing implicating T and B cell populations [257]; cross-species to swine [258]","Any human measurement of the neurotransmitter relay, which remains inferred from the preclinical work, and any energy–response relationship [259]",256;257;258;259
Transcranial photobiomodulation,Non-invasive,"Red to near-infrared light applied at the scalp, for example an 810 nm LED helmet or a 905 nm laser [22]","Cytochrome c oxidase as photoacceptor, argued from competition with potassium cyanide and from efficacy tracking the enzyme's absorption spectrum, with 670 and 830 nm effective and 728 nm not; cell death fell from 83.6% to 43.5% at 300 µM KCN in primary neurons [88]; nitric oxide photodissociation as the signalling step [89]","Insufficient delivered dose: more than 99% of light absorbed or scattered by human skull, maximum transmittance 0.31% for a 905 nm laser and 0.71% for an 810 nm LED helmet, with mitochondrial responses appearing only 14–775 times above the transmitted level [22]; against Monte Carlo simulation putting up to about 15% of incident energy at cortex transcranially and about 1% intranasally, reduced by melanin [23]","Wavelength, irradiance in mW/cm², fluence in J/cm², with a claimed biphasic dose response in which low fluence stimulates more than high [21]",Deposition concentrated in ventromedial prefrontal cortex in simulation [23]; no measured focal volume or time constant in this corpus,"In vitro primary neurons and HeLa cells [88,89]; human skull specimens with in vitro dose comparison [22]; photon-transport simulation [23]; proponent review [21]","Agreement on the fraction of light reaching cortex [22,23]; skin pigmentation as a reported covariate [23]; any dose standard [21]",21;22;23;88;89
"Drug, intravenous",Injected; non-surgical but systemic [166],A molecule delivered to plasma and distributed by blood flow and barrier transport [164],"Ligand binding at a receptor, described by affinity, occupancy and efficacy in the operational model [91], with exposure at the target site, target binding and expression of pharmacological activity as the three steps that have to be shown separately [24]; for neurosteroids, positive allosteric modulation of GABA-A rather than agonism [179]","The coupling step can be membrane-biophysical rather than a lock-and-key receptor event, with anaesthetic-sensitive sites in ordered lipid domains [184]; and receptor location can decide the effect, since psychedelic plasticity requires intracellular rather than surface 5-HT2A receptors [92]","Ketamine 0.5 mg/kg as a single infusion, with improvement at 110 min, response 71% and remission 29% at day 1 (n = 18, crossover) [166]; brexanolone as a single 60 h titrated infusion, Hamilton reduction 14.6 versus 12.1 points at 60 h [180]; occupancy as a dose proxy, 38–87% D2 predicting response with thresholds near 65% for response, 72% for extrapyramidal symptoms and 78% for hyperprolactinaemia [26], and windows of 65–80% D2 and 70–80% SERT [27]; plasma exposure as AUC and C<sub>max</sub> [25]","Spatial selectivity comes from receptor distribution and barrier transport, not from delivery [164]; temporal profile is pharmacokinetic, and the ketamine effect outlasted clearance by about a week [166]","Human randomised trials [166,180]; human PET [26,27]; systematic review of 110 studies and 37,193 participants [28]","Measured target-site concentration rather than modelled [164]; an efficacy term alongside occupancy, since partial agonists keep extrapyramidal risk low at high occupancy [28]",24;25;26;27;28;91;92;164;166;179;180;184
"Drug, oral",Non-invasive [181],A molecule absorbed from the gut into plasma [186],As intravenous: receptor binding and occupancy [91],"As intravenous [184,92]","Zuranolone 50 mg once daily for 14 days, Hamilton-17 least-squares mean difference −4.0 (95% CI −6.3 to −1.7), n = 196 [181]; levodopa dosing complicated by erratic plasma uptake and large dose-to-dose variability [186]",Temporal profile imposed by absorption: pulsatile versus continuous exposure of the same receptors gives different long-term outcomes [186]; no spatial selectivity beyond receptor distribution [164],Human phase 3 trial [181]; clinical pharmacology review [186],"Delivery consistency rather than receptor pharmacology as the limiting factor [186]; whether these agents outperform existing treatments, judged insufficient by one review [181]",91;92;164;181;184;186
"Drug, intranasal","Non-invasive, self-administered [169]",A molecule deposited on nasal mucosa [161],Direct nose-to-brain transport along olfactory and trigeminal pathways by perineural and perivascular bulk flow [161],Systemic absorption rather than direct transport; the pharmacokinetic evidence for a direct human route is contested [161],"Flexibly dosed intranasal esketamine added to a newly started oral antidepressant, n = 227, greater MADRS improvement by day 28, with dissociation, nausea, vertigo, dysgeusia and dizziness generally resolving within about 1.5 h [169]","Simulation of intranasal light puts about 1% of energy at cortex, which is the nearest analogue in this corpus rather than a drug measurement [23]; no measured human nose-to-brain distribution","Human phase 3 registration trial [169]; mechanism review, mixed species [161]","Quantification of the direct fraction in humans [161]; blinding, since dissociative effects are unmasking [169]",23;161;169
"Drug, inhaled",Non-invasive [185],A gas taken up across the alveolar membrane [185],Anaesthetic action at sites inside ion channels and within the plasma membrane [184],,"Nitrous oxide, one-hour inhalations at 25% or 50%, n = 24 crossover: improvement versus placebo (P = 0.01), no difference between concentrations (P = 0.58), adverse events far fewer at 25% (P < 0.001) [185]","Separation from placebo emerged at weeks 1 and 2 rather than at 2 or 24 hours, so the outcome outlasts exposure by weeks [185]; no spatial selectivity reported",Human phase 2 crossover trial [185]; in vitro mechanism review [184],"Dose–response for efficacy, which saturated while side effects remained dose-dependent [185]",184;185
"Drug, intrathecal",Implanted pump and catheter [163],A molecule infused into the cerebrospinal fluid compartment [163],"Receptor occupancy placed at the spinal cord rather than the brain: GABA-B agonism where the circuit is, not where the side effects are [163]",,"Continuous pump infusion of baclofen: tone fell in all 20 patients and spasms were reduced in 18 of 19, maintained over a mean 19.2 months, in patients who had failed the oral route [163]",Compartment-level rather than focal selectivity; continuous rather than pulsed delivery [163],"Human randomised double-blind crossover trial, n = 20 [163]",Target-site concentration measurement [164]; comparison with implanted stimulation on the same endpoint [2],2;163;164
